,Name,Style
0,@ZubairSabirPTI  pls dont insult the word 'Molna',anger
1,@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger
2,@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger
3,"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger
4,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger
5,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
6,I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger
7,My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
8,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger
9,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger
10,"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger
11,@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger
12,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger
13,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger
14,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger
15,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger
16,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger
17,@__NETFLIXNCHILL I fuck with madden way harder,anger
18,@TrussElise Obama must be fuming.. lol,anger
19,Hate when guys cant control their anger 🙃🙃,anger
20,"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger
21,Literally fuming fuck sake,anger
22,@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger
23,@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger
24,"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger
25,It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger
26,"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger
27,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger
28,I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger
29,@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger
30,Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger
31,The rage has died down.,anger
32,"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger
33,All Brian does is sleep and aggravate me,anger
34,@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger
35,@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger
36,@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger
37,i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger
38,For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger
39,@LeonWobYP b***er off. NCFC is a grudge match :),anger
40,Might just leave and aggravate bae,anger
41,"Realest ever, relentless ever, inevitable that I win.",anger
42,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger
43,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger
44,"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
45,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger
46,@LiamCannon1 He's just too raging to type properly... Ha ha!,anger
47,#oow16 #sting decent new song,anger
48,Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger
49,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger
50,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger
51,"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger
52,"I miss my gran singing Rawhide, in her deep baritone growl.",anger
53,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger
54,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger
55,@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger
56,@fluffysoftlouis no no. I insist that you give me your best insult first,anger
57,@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger
58,@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger
59,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger
60,"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger
61,Eat my ass' is no longer an insult,anger
62,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger
63,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger
64,"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger
65,"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger
66,"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger
67,"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
68,"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger
69,If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger
70,Sting is just too damn earnest for early morning listening. ,anger
71,Sting is just too damn earnest for early morning listening. #sting,anger
72,Just seeing Alex revells face gets me angry,anger
73,"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger
74,@danbloom1 beware the fury of a weak king,anger
75,@DJ_JeanFranko growl!!!,anger
76,"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger
77,"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger
78,"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger
79,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger
80,"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger
81,I hope my hustle don't offend nobody,anger
82,"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger
83,Lol little things like that make me so angry x,anger
84,"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
85,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless,anger
86,This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger
87,@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me 😍,anger
88,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈  #soreloser,anger
89,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger
90,wanna go home and focus up on this game . Don't wanna rage at all,anger
91,@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious,anger
92,@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 ,anger
93,I wanna see you smile I don't wanna see you make a frown,anger
94,@shae_caitlin ur road rage gives me anxiety.,anger
95,@eMilsOnWheels I'm furious 😩😩😩,anger
96,@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
97,They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger
98,They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
99,I just got murdered in madden. 🤕,anger
100,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,anger
101,@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction,anger
102,new madden 16 video was gonna be up but xbox is being an ahole and not going through 🙄🙄 #struggles,anger
103,"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger
104,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger
105,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
106,I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh 😅,anger
107,@crystaldiamondo impossible to say. We can only hope that I don’t unwittingly trigger her ferocious side again. Hell hath no fury..,anger
108,@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,anger
109,Autocorrect changes ''em' to 'me' which I resent greatly,anger
110,Candice on great british bake off with that pout does my head in 👊🏻🙄,anger
111,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger
112,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,anger
113,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle,anger
114,Fast and furious 6 this Monday 10 pm on mbc 2 😍😍😍😍😍😍😍,anger
115,"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.",anger
116,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger
117,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger
118,At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger
119,When you want to say something so bad but can't ! #furious 😤,anger
120,“Competition is suppose to motivate you to do better everytime not to be bitter all the time” -De philosopher DJ Kyos \n#quote #success #CSGO,anger
121,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger
122,@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger
123,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠 #angry #Rooney #mufc,anger
124,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠  #Rooney #mufc,anger
125,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger
126,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey,anger
127,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos,anger
128,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! ,anger
129,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger
130,Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
131,If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger
132,Star trek online has a update to download oh fuming yay,anger
133,@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge 🙌🏼🙌🏼,anger
134,"@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.",anger
135,The war is right outside your door #rage #USAToday,anger
